DeepWell.pd.txt		
CaCl2			0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100.00 % Water			667	667	667	667	667	667	767	767	767	767	767	767	500	500	500	500	500	500	600	600	600	600	600	600	233	233	233	233	233	233	333	333	333	333	333	333	0	0	0	0	0	0	100	100	100	100	100	100	767	767	767	767	767	767	767	767	767	767	767	767	600	600	600	600	600	600	600	600	600	600	600	600	333	333	333	333	333	333	333	333	333	333	333	333	100	100	100	100	100	100	100	100	100	100	100	100
NH42SO4			200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tb1			30	38	47	55	63	80	0	0	0	0	0	0	30	38	47	55	63	80	0	0	0	0	0	0	30	38	47	55	63	80	0	0	0	0	0	0	30	38	47	55	63	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tb2			70	62	53	45	37	20	0	0	0	0	0	0	70	62	53	45	37	20	0	0	0	0	0	0	70	62	53	45	37	20	0	0	0	0	0	0	70	62	53	45	37	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaAc2			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0
trisph8.5			35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142	35	55	76	98	120	142
MgCl2			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200	0	0	0	0	0	0	200	200	200	200	200	200
peg400			833	833	833	833	833	833	833	833	833	833	833	833	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1267	1267	1267	1267	1267	1267	1267	1267	1267	1267	1267	1267	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	833	833	833	833	833	833	833	833	833	833	833	833	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1267	1267	1267	1267	1267	1267	1267	1267	1267	1267	1267	1267	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
trisph7.5			165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58	165	145	124	102	80	58
